Case,Average Final Value,Rank
case19,39713677.3,1.0
case23,39729544.0,2.0
case20,39809287.7,3.0
case4,39915642.5,4.0
case7,40052499.5,5.0
case3,40067506.1,6.0
case8,40108397.7,7.0
case24,40260259.7,8.0
case5,40450675.8,9.0
case21,40549392.5,10.0
case17,40694578.0,11.0
case6,40867352.8,12.0
case18,40881047.9,13.0
case22,41010030.1,14.0
case2,41106892.0,15.0
case1,41248247.8,16.0
case9,42203816.3,17.0
case16,42227655.3,18.0
case11,42471458.0,19.0
case15,42926445.7,20.0
case12,42942170.9,21.0
case10,42962955.1,22.0
case13,43476006.4,23.0
case14,43835471.0,24.0
